No,Name,Wiki,Location,Wiki,Designated,Area km2
1,Kolleru Lake,Kolleru_Lake,Andhra Pradesh,Andhra_Pradesh,19 August 2002,901
2,Deepor Beel,Deepor_Beel,Assam,Assam,19 August 2002,40
3,Kanwar Taal or Kabar Taal Lake,Kabartal_Wetland,Bihar,Bihar,21 July 2020,26.2
4,Nanda Lake,Nanda_Lake,Goa,Goa,8 June 2022,0.42
5,Thol Lake,Thol_Lake,Gujarat,Gujarat,05 April 2021,6.99
6,Wadhvana Wetland,Wadhvana_Wetland,Gujarat,Gujarat,05 April 2021,6.3
7,Khijadiya Bird Sanctuary,Khijadiya_Bird_Sanctuary,Gujarat,Gujarat,13 April 2021,5.12
8,Nalsarovar Bird Sanctuary,Nalsarovar_Bird_Sanctuary,Gujarat,Gujarat,24 September 2012,120
9,Sultanpur National Park,Sultanpur_National_Park,Haryana,Haryana,25 May 2021,1.43
10,Bhindawas Wildlife Sanctuary,Bhindawas_Wildlife_Sanctuary,Haryana,Haryana,25 May 2021,4.11
11,Pong Dam Lake,Pong_Dam_Lake,Himachal Pradesh,Himachal_Pradesh,19 August 2002,156.62
12,Chandra Taal,Chandra_Taal,Himachal Pradesh,Himachal_Pradesh,8 November 2005,0.49
13,Renuka Lake,Renuka_Lake,Himachal Pradesh,Himachal_Pradesh,8 November 2005,0.2
14,Ashtamudi Wetland,Ashtamudi_Lake,Kerala,Kerala,18 August 2002,61.4
15,Loktak Lake,Loktak_Lake,Manipur,Manipur,23 March 1990,266
16,East Kolkata Wetlands,East_Kolkata_Wetlands,West Bengal,West_Bengal,19 August 2002,125
17,Nandur Madhameshwar,Nandur_Madhmeshwar_Bird_Sanctuary,Maharashtra,Maharashtra,21 June 2019,14
18,Nangal Wildlife Sanctuary,Nangal_Wildlife_Sanctuary,Punjab,"Punjab,_India",26 September 2019,1.16
19,Nawabganj Bird Sanctuary,Nawabganj_Bird_Sanctuary,Uttar Pradesh,Uttar_Pradesh,19 September 2019,2.25
20,Parvati Arga Bird Sanctuary,Parvati_Arga_Bird_Sanctuary,Uttar Pradesh,Uttar_Pradesh,2 December 2019,7.22
21,Point Calimere Wildlife and Bird Sanctuary,Point_Calimere_Wildlife_and_Bird_Sanctuary,Tamil Nadu,Tamil_Nadu,19 August 2002,385
22,Keshopur-Miani Community Reserve,,Punjab,"Punjab,_India",26 September 2019,3.44
23,Keoladeo National Park,Keoladeo_National_Park,Rajasthan,Rajasthan,1 October 1985,28.73
24,Ropar Wetland,Ropar_Wetland,Punjab,"Punjab,_India",22 January 2002,13.65
25,Rudrasagar Lake,Rudrasagar_Lake,Tripura,Tripura,8 November 2005,2.4
26,Saman Bird Sanctuary,Saman_Bird_Sanctuary,Uttar Pradesh,Uttar_Pradesh,2 December 2019,5.26
